hotel_id,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Hilo,US,78.12,clear sky,19.7297,-155.09,Dolphin Bay Hotel
6,Beoumi,CI,84.15,few clouds,7.6736,-5.5764,Hotel Amani 07 87 50 76
9,Conde,BR,85.46,scattered clouds,-7.2597,-34.9075,Paladino
14,Port Elizabeth,ZA,70.11,light rain,-33.918,25.5701,Waterford Hotel
15,Barreirinhas,BR,88.7,broken clouds,-2.7469,-42.8264,Pousada Matriz
16,Cozumel,MX,87.87,light rain,20.5083,-86.9458,Hotel Isla Esmeralda
19,Grand Gaube,MU,78.39,broken clouds,-20.0064,57.6608,Coco Villa
21,Atuona,PF,78.22,overcast clouds,-9.8,-139.0333,Pearl Resort
25,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,No hotel found
30,Edd,ER,79.74,clear sky,13.9297,41.6925,No hotel found
32,Inhambane,MZ,81.73,overcast clouds,-23.865,35.3833,Hotel de Inhambane
33,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti International Resort
36,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Tara-Mé
37,East London,ZA,70.74,broken clouds,-33.0153,27.9116,No hotel found
38,Elat,IL,71.44,clear sky,29.5581,34.9482,Melony Club
40,Jaru,BR,82.89,overcast clouds,-10.4389,-62.4664,Hotel avenida
41,Sola,VU,70.47,few clouds,-13.8833,167.55,No hotel found
45,Kalianget,ID,79.23,overcast clouds,-7.05,113.9333,No hotel found
47,Cabo San Lucas,MX,73.71,scattered clouds,22.8909,-109.9124,Comfort Rooms
50,Butaritari,KI,81.59,scattered clouds,3.0707,172.7902,No hotel found
51,Caravelas,BR,78.75,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
55,Rikitea,PF,75.24,moderate rain,-23.1203,-134.9692,Chez Bianca & Benoit
56,Mahibadhoo,MV,81.5,broken clouds,3.7833,72.9667,Coral View Inn
59,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,Le Baril
66,Iquitos,PE,80.64,light rain,-3.7481,-73.2472,Marfil del Amazonas
72,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
77,Pedasi,PA,81.79,overcast clouds,7.5333,-80.0333,Dim's Hostal
81,Karratha,AU,78.42,light rain,-20.7377,116.8463,Karratha International Hotel
82,Biak,ID,75.96,moderate rain,-0.9131,122.8766,No hotel found
90,Kokopo,PG,76.42,overcast clouds,-4.352,152.2633,Hotel Kokopo
91,Huarmey,PE,74.75,broken clouds,-10.0681,-78.1522,Hostal Santa Rosa
97,Cape Town,ZA,70.21,clear sky,-33.9258,18.4232,Townhouse Hotel
106,Kikwit,CD,74.03,overcast clouds,-5.041,18.8162,Grand Hôtel de Kikwit
107,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Kununurra Country Club Resort
109,Nampula,MZ,80.55,light rain,-15.1165,39.2666,Hotel Lurio
113,Georgetown,MY,80.53,scattered clouds,5.4112,100.3354,Page 63 hostel
123,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Terra Sur
125,Kasongo-Lunda,CD,71.11,broken clouds,-6.4667,16.8167,No hotel found
127,Cidreira,BR,71.55,clear sky,-30.1811,-50.2056,Hotel Castelo
129,Bandarbeyla,SO,76.73,few clouds,9.4942,50.8122,No hotel found
130,Carnarvon,AU,74.07,clear sky,-24.8667,113.6333,No hotel found
131,Cap Malheureux,MU,78.48,broken clouds,-19.9842,57.6142,Cape Garden
133,Minas,UY,81.07,scattered clouds,-34.3759,-55.2377,No hotel found
134,Faanui,PF,80.22,light rain,-16.4833,-151.75,Oa Oa Lodge
136,Kapaa,US,70.12,clear sky,22.0752,-159.319,Pono Kai Resort
140,Katherine,AU,75.52,light rain,-14.4667,132.2667,No hotel found
141,San Juan,AR,87.44,clear sky,-31.5375,-68.5364,Hotel San Francisco
144,Antalaha,MG,74.32,broken clouds,-14.9003,50.2788,Hôtel Florida
151,Soure,BR,83.07,heavy intensity rain,-0.7167,-48.5233,Hotel Marajó
152,Tutoia,BR,84.0,scattered clouds,-2.7619,-42.2744,Pousada San Vicente
158,Eirunepe,BR,82.56,overcast clouds,-6.6603,-69.8736,No hotel found
160,Nileshwar,IN,76.8,heavy intensity rain,12.25,75.1,No hotel found
164,Dovers,VC,81.99,clear sky,12.8833,-61.1833,The Cotton House
165,Alofi,NU,76.89,light rain,-19.0595,-169.9187,No hotel found
167,Manta,EC,76.78,scattered clouds,-0.95,-80.7333,La Gaviota
168,Pisco,PE,75.25,clear sky,-13.7,-76.2167,La Portada
169,Umm Kaddadah,SD,71.01,scattered clouds,13.6017,26.6876,No hotel found
170,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
171,Touros,BR,83.25,few clouds,-5.1989,-35.4608,Pousada Atlântico
174,Makakilo City,US,73.62,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
175,Hithadhoo,MV,81.66,scattered clouds,-0.6,73.0833,Pebbles Inn
176,Pundaguitan,PH,81.27,overcast clouds,6.3711,126.1689,No hotel found
178,Gizo,SB,81.39,broken clouds,-8.103,156.8419,Gizo Hotel
180,Sukhothai,TH,74.12,overcast clouds,17.25,99.6667,No hotel found
182,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
184,Xai-Xai,MZ,76.08,moderate rain,-25.0519,33.6442,No hotel found
185,Moindou,NC,77.76,scattered clouds,-21.6924,165.677,No hotel found
186,Itarema,BR,84.45,broken clouds,-2.9248,-39.9167,Pousada Oásis
190,Nabire,ID,75.36,overcast clouds,-3.3667,135.4833,Hotel Anggrek
191,Salalah,OM,80.69,clear sky,17.0151,54.0924,Muscat International Hotel
192,Bengkulu,ID,74.59,overcast clouds,-3.8004,102.2655,Dena Hotel
193,Sao Filipe,CV,76.87,overcast clouds,14.8961,-24.4956,Bela Vista
194,Fare,PF,79.25,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
196,Kiunga,PG,72.66,overcast clouds,-6.1219,141.2906,No hotel found
200,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,No hotel found
201,Gilbues,BR,81.73,broken clouds,-9.8317,-45.3439,Hotel Camapua
202,Namatanai,PG,78.06,light rain,-3.6667,152.4333,Namatanai Hotel
203,Juba,SS,82.2,overcast clouds,4.8517,31.5825,Hotel Juba Regency
204,Dingle,PH,74.17,overcast clouds,10.9995,122.6711,No hotel found
208,Saint-Georges,GD,82.08,light intensity shower rain,12.0564,-61.7485,Deyna's City Inn
209,Musoma,TZ,70.86,overcast clouds,-1.5,33.8,New Peninsula Hotel
216,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,Hotel del Valle
219,Arlit,NE,77.22,clear sky,18.7369,7.3853,No hotel found
223,Sao Felix Do Xingu,BR,81.99,light rain,-6.6447,-51.995,Hotel Terraço
224,Santiago Del Estero,AR,75.09,overcast clouds,-27.7951,-64.2615,Nuevo Hotel Brístol
225,Adrar,MR,74.53,overcast clouds,20.5022,-10.0711,No hotel found
229,Ponnani,IN,76.32,clear sky,10.767,75.9252,Hotel Salkara
237,Rocha,UY,73.4,few clouds,-34.4833,-54.3333,Hotel Municipal
240,Muscat,OM,73.42,clear sky,23.6139,58.5922,البطاشي
