City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Punta Arenas,CL,-53.15,-70.9167,55.51,44,0,23.02,clear sky
1,Hilo,US,19.7297,-155.09,78.12,77,0,5.75,clear sky
2,Storsteinnes,NO,69.2408,19.2344,25.38,82,91,4.68,overcast clouds
3,Iqaluit,CA,63.7506,-68.5145,26.33,68,75,11.5,broken clouds
4,Bluff,NZ,-46.6,168.3333,52.81,84,100,15.26,overcast clouds
5,Barrow,US,71.2906,-156.7887,-5.78,77,75,14.97,broken clouds
6,Beoumi,CI,7.6736,-5.5764,84.15,42,22,3.76,few clouds
7,Avera,US,33.194,-82.5271,53.11,57,98,8.9,overcast clouds
8,Busselton,AU,-33.65,115.3333,63.18,71,12,14.74,few clouds
9,Conde,BR,-7.2597,-34.9075,85.46,51,40,10.36,scattered clouds
10,Kaitangata,NZ,-46.2817,169.8464,50.81,97,100,7.2,overcast clouds
11,Lata,PT,40.1629,-8.3327,54.07,91,71,1.74,broken clouds
12,Merrill,US,45.1805,-89.6835,25.81,91,75,0.0,broken clouds
13,Hobart,AU,-42.8794,147.3294,49.05,92,100,8.05,overcast clouds
14,Port Elizabeth,ZA,-33.918,25.5701,70.11,89,75,4.61,light rain
15,Barreirinhas,BR,-2.7469,-42.8264,88.7,52,61,12.86,broken clouds
16,Cozumel,MX,20.5083,-86.9458,87.87,58,75,4.61,light rain
17,Tornio,FI,65.8481,24.1466,30.22,85,100,10.33,overcast clouds
18,Kodiak,US,57.79,-152.4072,29.71,93,75,4.61,broken clouds
19,Grand Gaube,MU,-20.0064,57.6608,78.39,70,66,8.01,broken clouds
20,Mataura,NZ,-46.1927,168.8643,52.48,100,100,2.57,overcast clouds
21,Atuona,PF,-9.8,-139.0333,78.22,76,88,20.04,overcast clouds
22,Bredasdorp,ZA,-34.5322,20.0403,68.09,79,89,11.88,overcast clouds
23,Las Cruces,US,32.3123,-106.7783,44.71,26,0,7.0,clear sky
24,La Ronge,CA,55.1001,-105.2842,-7.35,71,75,9.22,broken clouds
25,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,75,18.41,broken clouds
26,Tolbazy,RU,54.0241,55.8825,22.71,96,100,7.45,light snow
27,Saint Anthony,US,45.0205,-93.218,21.24,83,100,13.8,overcast clouds
28,Longyearbyen,SJ,78.2186,15.6401,4.84,78,40,4.61,scattered clouds
29,Belgrade,RS,44.804,20.4651,40.69,84,40,10.36,scattered clouds
30,Edd,ER,13.9297,41.6925,79.74,67,8,12.06,clear sky
31,New Norfolk,AU,-42.7826,147.0587,48.7,72,11,1.97,few clouds
32,Inhambane,MZ,-23.865,35.3833,81.73,84,90,15.32,overcast clouds
33,Vaini,TO,-21.2,-175.2,71.76,100,20,1.14,few clouds
34,Sitka,US,57.0531,-135.33,26.49,36,0,3.44,clear sky
35,Chuy,UY,-33.6971,-53.4616,69.93,50,88,13.6,overcast clouds
36,Port-Gentil,GA,-0.7193,8.7815,80.56,83,20,6.91,few clouds
37,East London,ZA,-33.0153,27.9116,70.74,88,75,5.75,broken clouds
38,Elat,IL,29.5581,34.9482,71.44,40,0,4.61,clear sky
39,Bay Roberts,CA,47.5999,-53.2648,36.34,94,99,10.0,light rain
40,Jaru,BR,-10.4389,-62.4664,82.89,70,88,8.08,overcast clouds
41,Sola,VU,-13.8833,167.55,70.47,100,20,0.0,few clouds
42,Muros,ES,42.7762,-9.0603,55.09,86,91,11.34,overcast clouds
43,Yellowknife,CA,62.456,-114.3525,-16.08,76,75,6.91,broken clouds
44,Tiksi,RU,71.6872,128.8694,-31.41,98,88,4.05,overcast clouds
45,Kalianget,ID,-7.05,113.9333,79.23,81,96,4.43,overcast clouds
46,Talnakh,RU,69.4865,88.3972,-4.34,92,100,9.44,overcast clouds
47,Cabo San Lucas,MX,22.8909,-109.9124,73.71,56,40,3.44,scattered clouds
48,Leshukonskoye,RU,64.8989,45.7622,6.48,97,69,6.2,broken clouds
49,Kruisfontein,ZA,-34.0033,24.7314,67.89,93,100,4.83,light rain
50,Butaritari,KI,3.0707,172.7902,81.59,77,43,11.61,scattered clouds
51,Caravelas,BR,-17.7125,-39.2481,78.75,87,100,7.99,overcast clouds
52,Tuatapere,NZ,-46.1333,167.6833,52.47,95,100,3.96,light rain
53,Viedma,AR,-40.8135,-62.9967,93.2,15,26,18.48,scattered clouds
54,Canakkale,TR,40.0833,26.8333,61.38,88,40,3.98,scattered clouds
55,Rikitea,PF,-23.1203,-134.9692,75.24,81,100,9.8,moderate rain
56,Mahibadhoo,MV,3.7833,72.9667,81.5,75,66,12.3,broken clouds
57,Yatou,CN,37.15,122.3833,20.61,79,80,18.59,light snow
58,Zhangjiakou,CN,40.81,114.8794,9.19,64,50,7.94,scattered clouds
59,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,68,14.76,broken clouds
60,Sept-Iles,CA,50.2001,-66.3821,28.06,79,100,13.8,overcast clouds
61,Egvekinot,RU,66.3167,-179.1667,10.49,61,71,10.0,broken clouds
62,Neya,RU,58.2972,43.8681,18.3,95,100,8.52,light snow
63,Ust-Nera,RU,64.5667,143.2,-19.05,98,91,2.48,overcast clouds
64,Chokurdakh,RU,70.6333,147.9167,-37.57,100,19,3.4,few clouds
65,Atbasar,KZ,51.8,68.3333,4.55,94,52,4.23,broken clouds
66,Iquitos,PE,-3.7481,-73.2472,80.64,94,100,1.14,light rain
